title,year,name,type,character,n
Song of Idaho,1948,Eddie Acuff,actor,Hash Brown,
South of Dixie,1944,Eddie Acuff,actor,Jay Hatcher,7.0
Spring Parade,1940,Eddie Acuff,actor,Earl,
Star Dust,1940,Eddie Acuff,actor,"Mike, Dallas Stagehand",
"Stop, You're Killing Me",1952,Eddie Acuff,actor,Cab Driver,
Suddenly It's Spring,1947,Eddie Acuff,actor,Man Retrieving Dress from Peter,
Sweet Adeline,1934,Eddie Acuff,actor,Undetermined Secondary Role,
Swing the Western Way,1947,Eddie Acuff,actor,Mr. Spraggs,9.0
Swingtime Johnny,1943,Eddie Acuff,actor,Worker,
"Take a Letter, Darling",1942,Eddie Acuff,actor,Man Who Picks Teeth,
Talent Scout,1937,Eddie Acuff,actor,Musselman - Writer,
Texas Rangers Ride Again,1940,Eddie Acuff,actor,Bud - Ranger Stenographer,
The Bamboo Blonde,1946,Eddie Acuff,actor,M.P. Sergeant,
The Bank Dick,1940,Eddie Acuff,actor,Reporter,
The Border Legion,1940,Eddie Acuff,actor,Ticket Agent,
The Boys from Syracuse,1940,Eddie Acuff,actor,Taxi Cab Driver,13.0
The Case of the Velvet Claws,1936,Eddie Acuff,actor,Spudsy Drake,7.0
The Chaser,1938,Eddie Acuff,actor,Photographer,
The Clock,1945,Eddie Acuff,actor,First Subway Official,
The Cowboy and the Lady,1938,Eddie Acuff,actor,Bus Driver,
The Cowboy Quarterback,1939,Eddie Acuff,actor,Airplane Pilot,12.0
The Fabulous Texan,1947,Eddie Acuff,actor,Telegrapher,
The Flying Serpent,1946,Eddie Acuff,actor,Jerry 'Jonsey' Jones,4.0
The Frozen Ghost,1945,Eddie Acuff,actor,Reporter in Hallway,
The Go Getter,1937,Eddie Acuff,actor,Bob Blair,8.0
The Golden Arrow,1936,Eddie Acuff,actor,Davis,12.0
The Great American Broadcast,1941,Eddie Acuff,actor,Jimmy,17.0
The Great Train Robbery,1941,Eddie Acuff,actor,Telegrapher,
The Green Hornet Strikes Again!,1940,Eddie Acuff,actor,Lowery - a Reporter,5.0
The Hidden Eye,1945,Eddie Acuff,actor,Whitey,17.0
The Invisible Menace,1938,Eddie Acuff,actor,Corporal Sanger,8.0
The Jungle Captive,1945,Eddie Acuff,actor,Bill,7.0
The Lady Is Willing,1942,Eddie Acuff,actor,Patrolman Murphy,
The Law in Her Hands,1936,Eddie Acuff,actor,Eddie O'Malley,5.0
The Milkman,1950,Eddie Acuff,actor,Herman Schultz,
The Mysterious Miss X,1939,Eddie Acuff,actor,"Pete, a Policeman",10.0
The Notorious Lone Wolf,1946,Eddie Acuff,actor,Detective Jones,
The Old Homestead,1942,Eddie Acuff,actor,Policeman,
The Outer Gate,1937,Eddie Acuff,actor,Todd Snannon,4.0
The People vs. Dr. Kildare,1941,Eddie Acuff,actor,Clifford Genet,13.0
The Petrified Forest,1936,Eddie Acuff,actor,Lineman,10.0
The Phantom Creeps,1939,Eddie Acuff,actor,Mac - AMI Agent [Chs. 2-12,14.0
The Postman Didn't Ring,1942,Eddie Acuff,actor,Photographer,
The Return of October,1948,Eddie Acuff,actor,Stable Boy,
The Roaring Twenties,1939,Eddie Acuff,actor,Cabbie,
The Sea of Grass,1947,Eddie Acuff,actor,Cattleman,
The Secret Life of Walter Mitty,1947,Eddie Acuff,actor,Wells Fargo Cowboy,
The Secret Seven,1940,Eddie Acuff,actor,Driver,
The Singing Marine,1937,Eddie Acuff,actor,Sam,13.0
The Timber Trail,1948,Eddie Acuff,actor,Telegraph Operator,10.0
The Traitor Within,1942,Eddie Acuff,actor,Tommy,10.0
The Villain Still Pursued Her,1940,Eddie Acuff,actor,Joe,
The Wagons Roll at Night,1941,Eddie Acuff,actor,Pickpocket Victim,
The Walking Dead,1936,Eddie Acuff,actor,Betcha,13.0
The War Against Mrs. Hadley,1942,Eddie Acuff,actor,Soldier in Canteen,
They Died with Their Boots On,1941,Eddie Acuff,actor,Cpl. Smith,
They Drive by Night,1940,Eddie Acuff,actor,Driver in Cafe,
They Won't Forget,1937,Eddie Acuff,actor,Drugstore Clerk,22.0
Three Little Girls in Blue,1946,Eddie Acuff,actor,Josh,
Timber!,1942,Eddie Acuff,actor,Man,
Too Busy to Work,1939,Eddie Acuff,actor,Stage Manager,19.0
True to the Army,1942,Eddie Acuff,actor,Sgt. Riggs,13.0
Two Bright Boys,1939,Eddie Acuff,actor,Washburn,8.0
Wake Up and Dream,1946,Eddie Acuff,actor,Bus Driver,
Week-End Pass,1944,Eddie Acuff,actor,Waikowsky,10.0
What Price Vengeance,1937,Eddie Acuff,actor,Tex McGirk,4.0
What's Cookin'?,1942,Eddie Acuff,actor,Doorman,
When Tomorrow Comes,1939,Eddie Acuff,actor,Second Bus Driver,
Who Is Hope Schuyler?,1942,Eddie Acuff,actor,Arthur Guerney,
Wing and a Prayer,1944,Eddie Acuff,actor,Pharmacist's Mate,
Wings of the Navy,1939,Eddie Acuff,actor,Reporter,
Winner Take All,1939,Eddie Acuff,actor,Second,
Without Love,1945,Eddie Acuff,actor,Taxi Driver,
Wonder Man,1945,Eddie Acuff,actor,Pelican Club Doorman,
Wyoming,1947,Eddie Acuff,actor,Nester,
Yankee Doodle Dandy,1942,Eddie Acuff,actor,Reporter,
Young Fugitives,1938,Eddie Acuff,actor,Loafer,
Youth on Parade,1942,Eddie Acuff,actor,Cop,
Youth Takes a Fling,1938,Eddie Acuff,actor,Bum,23.0
I Am a Knife with Legs,2014,Matthew Acuff,actor,The Driver,6.0
Jekyll Island,1998,Peter Acuff,actor,Delaware Student,56.0
Buckshot,2016,Preston Acuff,actor,Karl Stillman,
Jonah Hex,2010,Preston Acuff,actor,Union Officer at Fed Reserve,27.0
Speedway Junky,1999,Preston Acuff,actor,Skateboarder,
The Dry Spell,2005,Preston Acuff,actor,Friend 2,
Coal Miner's Daughter,1980,Roy Acuff,actor,Roy Acuff,
Cowboy Canteen,1944,Roy Acuff,actor,Roy Acuff,
Grand Ole Opry,1940,Roy Acuff,actor,Roy Acuff,14.0
"Hi, Neighbor",1942,Roy Acuff,actor,Roy Acuff,12.0
Home in San Antone,1949,Roy Acuff,actor,Roy Acuff aka Jack Jones,1.0
Night Train to Memphis,1946,Roy Acuff,actor,Roy Acuff,1.0
"O, My Darling Clementine",1943,Roy Acuff,actor,Sheriff Roy Acuff,1.0
"Sing, Neighbor, Sing",1944,Roy Acuff,actor,Roy Acuff,3.0
Smoky Mountain Melody,1948,Roy Acuff,actor,Roy Acuff,1.0
Takbo... Talon... Tili!!!,1992,Jojo Acuin,actor,"(segment ""Mahiwagang Banga"")",14.0
The Untold Story: Vizconde Massacre II - May the Lord Be with Us!,1994,Jojo Acuin,actor,Uncle,18.0
In Your Face,2002,Joey Acuna Jr.,actor,Chaz,8.0
Sledge,2006,Joey Acuna Jr.,actor,Pixie,2.0
A Walk Among the Tombstones,2014,Luciano Acuna Jr.,actor,Dominican Banger #1,4.0
Goat,2013,Luciano Acuna Jr.,actor,Punk 2,
Tracers,2015,Luciano Acuna Jr.,actor,Tate,5.0
186 Dollars to Freedom,2012,Diego Acuna,actor,Atheist,
A Warrior's Heart,2011,Diego Acuna,actor,WC Referee,26.0
Kidnapped Souls,2012,Diego Acuna,actor,David,10.0
Primitive Recall,2008,Diego Acuna,actor,Tom,3.0
A Very Special Love,2008,Dodie Acuna,actor,Miggy's Friend,28.0
Ang tanging ina n'yong lahat,2008,Dodie Acuna,actor,PSG,31.0
Bcuz of U,2004,Dodie Acuna,actor,Husband,29.0
Bilang na ang araw mo,1996,Dodie Acuna,actor,Rodel's Man,26.0
Close to You,2006,Dodie Acuna,actor,Manuel's Cousin,23.0
Col. Elmer Jamias: Barako ng Maynila,2000,Dodie Acuna,actor,Adan's Henchman,17.0
Do Re Mi,1996,Dodie Acuna,actor,Holdupper 3,23.0
Isprikitik: Walastik kung pumitik,1999,Dodie Acuna,actor,Goon,68.0
Kasangga kahit kailan,1998,Dodie Acuna,actor,Almonte's Men,21.0
La vida Rosa,2001,Dodie Acuna,actor,Elvis,17.0
Mystrio (Uno... dos... tres pilyos!),1998,Dodie Acuna,actor,Teacher,48.0
Pera o bayong (Not da TV),2000,Dodie Acuna,actor,Don Juanito's Bodyguard,33.0
Suspek,1999,Dodie Acuna,actor,Friend of Rex,17.0
Villa Estrella,2009,Dodie Acuna,actor,Raymond,16.0
Wala nang iibigin pang iba,1997,Dodie Acuna,actor,Rufo's Man,30.0
You Got Me!,2007,Dodie Acuna,actor,SWAT,17.0
Once Is Enough,2013,Grey Acuna,actor,Tony,
Saving the Tin Man,2016,Grey Acuna,actor,Max Mansur,
Siren City,2017,Grey Acuna,actor,DPD Detective 'Grey',8.0
Under Liberty,2009,Jared Acuna,actor,Red 4,
Greta,2009,Jason Acuna,actor,Restaurant customer,
Manny's Orphans,1978,Marlon Acuna,actor,Jimmy,18.0
10000 Hours,2013,Steven Acuna,actor,Random Reporter,38.0
Badil,2013,Steven Acuna,actor,Grocery Store Owner,40.0
Jesus: The Desire of Ages,2014,Vickylyn Acuna,actor,Muriah,
Avenging Angel,1985,Richard Acunto,actor,Spectator,38.0
Nil by Mouth,1997,Giseppe Acunzo,actor,Band Musician,23.0
Baciami piccina,2006,Nicola Acunzo,actor,Procopio,10.0
Il ritorno del Monnezza,2005,Nicola Acunzo,actor,Nuovo collega di Betta,
Manuale d'amore 2 (Capitoli successivi),2007,Nicola Acunzo,actor,Lavapiatti Napoletano,33.0
Nemici per la pelle,2006,Nicola Acunzo,actor,Ospite villa adamo ed eva,20.0
No Problem,2008,Nicola Acunzo,actor,Sceneggiatore,21.0
Sleepless,2009,Nicola Acunzo,actor,Stefano,
Vallanzasca - Gli angeli del male,2010,Nicola Acunzo,actor,Rosario,10.0
Casting (II),2015,Raffaele Acunzo,actor,Cardiologo,13.0
Dupa dealuri,2012,Adrian Acuta,actor,Man at the wheel,
Must Be... Love,2013,Winston Acuyong,actor,Barbie,23.0
Kuwentong bahay-bahayan,1953,Ronaldo Acuzar,actor,Boy,
Condominio,2007,'Frau Diamanda' H?ctor Acu?a,actor,Hostel guest 6,
Por un polvo,2008,Andr?s Acu?a,actor,Quintillizo,
Por un polvo,2008,Armando Acu?a,actor,Quintillizo,
Amigo,2010,Arthur Acu?a,actor,Locsin,1.0
Bang Bang Alley,2014,Arthur Acu?a,actor,Felix Magat,
Batang West Side,2001,Arthur Acu?a,actor,Bartolo,7.0
Blue Hour,2005,Arthur Acu?a,actor,John Thornhill,
Heneral Luna,2015,Arthur Acu?a,actor,Manuel Bernal,8.0
Hubad,2008,Arthur Acu?a,actor,Gerry,8.0
Kabisera,2013,Arthur Acu?a,actor,Jose Romualdez,2.0
Posas,2012,Arthur Acu?a,actor,Inspector Domingo,3.0
Prince of Central Park,2000,Arthur Acu?a,actor,Gangbanger,23.0
Rigodon,2005,Arthur Acu?a,actor,Amado,2.0
Room 213,2008,Arthur Acu?a,actor,The Newscaster,9.0
The Bourne Legacy,2012,Arthur Acu?a,actor,Manila Driver,88.0
The Crimson Mask,2009,Arthur Acu?a,actor,Mr. Kuo,10.0
The King,2005,Carlos (II) Acu?a,actor,Sailor,36.0
The Shifting,2013,Carlos (II) Acu?a,actor,Manny,
Bihagin: Bilibid Boys,1981,Choy Acu?a,actor,Caloy Alejo,7.0
Bilibid Gays,1981,Choy Acu?a,actor,Caloy,10.0
Un embrujo,1998,Daniel Acu?a,actor,Eliseo (Young),3.0
Zurdo,2003,Daniel Acu?a,actor,Mago,30.0
Negro es mi color,1951,Eduardo Acu?a,actor,Sacerdote,11.0
Lokas,2008,Fernando (II) Acu?a,actor,Empleado Tienda de Mascotas,25.0
La buena vida,2008,Francisco Acu?a,actor,Lucas,7.0
Violeta se fue a los cielos,2011,Francisco Acu?a,actor,Nicanor Joven,1.0
Unfaithful Wife,1986,Gran Acu?a,actor,Ihaw-Ihaw Customer,37.0
Never Let Go,2015,Guillermo Willy Acu?a,actor,Policeman (Mallorca),28.0
Condominio,2007,H?ctor Acu?a,actor,Frau Diamanda,
Bashing,2004,Jason 'Wee Man' Acu?a,actor,Rockwell Stone,
Behaving Badly,2014,Jason 'Wee Man' Acu?a,actor,Brian Savage,14.0
Elf-Man,2012,Jason 'Wee Man' Acu?a,actor,Elf-Man,1.0
Grind,2003,Jason 'Wee Man' Acu?a,actor,Little Timmy,42.0
Pee Stains and Other Disasters,2005,Jason 'Wee Man' Acu?a,actor,Franklin,9.0
Stories of Lost Souls,2005,Jason 'Wee Man' Acu?a,actor,"The Little Man (segment ""The Same"")",
The Legion of Supervillains the Official Music Video,2013,Jason 'Wee Man' Acu?a,actor,Himself,
TV: The Movie,2006,Jason 'Wee Man' Acu?a,actor,My Little Buddy,3.0
TV: The Movie,2006,Jason 'Wee Man' Acu?a,actor,Wee-Man Doll,3.0
TV: The Movie,2006,Jason 'Wee Man' Acu?a,actor,Cricket,3.0
TV: The Movie,2006,Jason 'Wee Man' Acu?a,actor,Mobutu,3.0
Epimaco Velasco: NBI,1994,Lito Acu?a,actor,Kidnapper,87.0
"Amor, curiosidad, prozak y dudas",2001,Gregor Acu?a-Pohl,actor,Chico moderno,21.0
La Ama,2015,Gregor Acu?a-Pohl,actor,Jeremias,
La luz con el tiempo dentro,2015,Gregor Acu?a-Pohl,actor,Doctor Lalanne,32.0
Maldita venganza,2015,Gregor Acu?a-Pohl,actor,Luis,23.0
Teenage Mutant Ninja Turtles: Out of the Shadows,2016,Quincy Acy,actor,Quincy Acy,37.0
Taking Care of Business,2016,Edward Aczel,actor,Mr. Jones,12.0
Taking Care of Business,2016,Edward (II) Aczel,actor,Mr. Jones,
Blue Moon,2002,Peter Aczel,actor,Car Dealer,5.0
Bratislavafilm,2009,Peter Aczel,actor,Father,
Merlin,1993,Peter Aczel,actor,Miner 3,22.0
Pureza,1940,Roberto Ac?cio,actor,Chico Bem-Bem,7.0
A Maluquinha de Arroios,1970,?scar Ac?rcio,actor,Borboleta,11.0
"Viela, Rua Sem Sol",1947,?scar Ac?rcio,actor,Unknown,9.0
Joey,1986,The Ad Libs,actor,Themselves,
Toi Bak je pou tyun tyun zyun,2015,Ada (XII),actor,Jingua,
Nattbuss 807,1997,Fadi Ada,actor,Omar,
The Breadwinner,2017,Kawa Ada,actor,Razaq,
Merisairas,1996,Albert Adaba,actor,Sailor,24.0
Midnight Raffle,2009,Raphael Adaba,actor,Jes,
Mulberry St,2006,Raphael Adaba,actor,Dead guy in van being eaten by rat girl,
Mulberry St,2006,Raphael Adaba,actor,Rat person on car,
One in Seven Million,2010,Raphael Adaba,actor,Mike,15.0
Park Sharks,2009,Raphael Adaba,actor,Steve,8.0
Tainted (III),2010,Raphael Adaba,actor,Swat #1,
Beyrouth ya Beyrouth,1975,Elie Adabachi,actor,Fascist Brother,
L'autre,1991,Elie Adabachi,actor,Ali,7.0
Un homme perdu,2007,Elie Adabachi,actor,Douanier au guichet,20.0
Charbel: The Movie,2009,Michel Adabachi,actor,Tannous,12.0
Tramontane,2016,Michel Adabachi,actor,Wissam,
Charbel: The Movie,2009,Tina Adabachy,actor,Tanous's wife,22.0
Shortcuts to Hell: Volume II,2014,Nathan Adabadze,actor,"Jack (segment ""Breathe"")",
Sri Shirdi Saibaba Mahathyam,1986,Adabala,actor,Bhagoti,
33 Days,2012,Michel Adabashi,actor,Oushri,10.0
12,2007,Aleksandr Adabashyan,actor,Pristav,13.0
Dva gusara,1984,Aleksandr Adabashyan,actor,Merchant,8.0
Ku! Kin-dza-dza,2013,Aleksandr Adabashyan,actor,Abradox,5.0
La traductrice,2006,Aleksandr Adabashyan,actor,P?re d'Ira,7.0
O lyubvi v lyubuyu pogodu,2004,Aleksandr Adabashyan,actor,Vagabond,
Oci ciornie,1987,Aleksandr Adabashyan,actor,Nurses at the sanatorium,
Plyus odin,2008,Aleksandr Adabashyan,actor,Man at kiosk,23.0
Polyoty vo sne i nayavu,1983,Aleksandr Adabashyan,actor,Sculptor,9.0
Prezident i ego vnuchka,2000,Aleksandr Adabashyan,actor,Doctor,5.0
Pyat vecherov,1979,Aleksandr Adabashyan,actor,Timofeyev,6.0
Raba lyubvi,1976,Aleksandr Adabashyan,actor,A film director,
Rodnya,1982,Aleksandr Adabashyan,actor,Waiter #3,9.0
Rodnya,1982,Aleksandr Adabashyan,actor,3rd Man On Photo,9.0
Rodnya,1982,Aleksandr Adabashyan,actor,Man In The Train,9.0
Sibiriada,1979,Aleksandr Adabashyan,actor,Provadets,
Slon,2010,Aleksandr Adabashyan,actor,Veterinar Petrovich,5.0
Smert v pensne ili Nash Chekhov,2010,Aleksandr Adabashyan,actor,Horhe,
Solnechnyy udar,2014,Aleksandr Adabashyan,actor,Fotograf,22.0
Utomlyonnye solntsem 2: Predstoyanie,2010,Aleksandr Adabashyan,actor,Partapparatchik,22.0
V Rossii idet sneg,2010,Aleksandr Adabashyan,actor,Maire,
Dove vai in vacanza?,1978,Peter Adabire,actor,"Cangoni (segment ""S? buana"")",22.0
Church Ball,2006,Bita Adabkhah,actor,Duki,20.0
Potomanto,2013,Elorm Adablah,actor,Coroner,
Praia do Futuro,2014,Jean Philippe Kodjo Adabra,actor,Grocery Clerk,9.0
Spike of Love,1994,Adam Adach,actor,Snake,9.0
Thick as Thieves,1991,Adam Adach,actor,Cop #1,5.0
Bridget Jones's Baby,2016,Lee Adach,actor,Neanderthal\Cafe Staff,
Film Stars Don't Die in Liverpool,2017,Lee Adach,actor,Theatre Audience,
Housefull 3,2016,Lee Adach,actor,Seafront crowd,
King Arthur: Legend of the Sword,2017,Lee Adach,actor,Resistance,
The Huntsman: Winter's War,2016,Lee Adach,actor,Village Parent,
Gatwick Gangsters,2016,Michael Adach,actor,The Sun Reporter,
Yogen,2004,Gaku Adachi,actor,Dansei Kisha,10.0
Detective Story (II),2010,Hiroshi (VI) Adachi,actor,Yuji Sato,
American Pastime,2007,K.J. Adachi,actor,Little bambino,
Down and Derby,2005,K.J. Adachi,actor,Kyosho's Son,15.0
Judai no seiten '75,1975,Kiyoyasu Adachi,actor,Minoru Nishida,
Kinjirareta taiken,1979,Kiyoyasu Adachi,actor,Yagi,4.0
Maruhi ama Report: monzetsu,1975,Kiyoyasu Adachi,actor,Tamio Kimura - Hiroko's Boy Friend,
Tokyo eros senya ichiya,1979,Kiyoyasu Adachi,actor,Hatsuto Shind?,
Kaette kita yopparai,1968,Masao Adachi,actor,Policeman,10.0
The Ugly One,2013,Masao Adachi,actor,Narrateur,1.0
Into the Sun,2005,Naoto Adachi,actor,PR Man,26.0
Rasen,1998,Naoto Adachi,actor,Funakoshi,9.0
Tennis no oujisama,2006,Osamu Adachi,actor,Eiji Kikumaru,5.0
Gekijouban Tiger & Bunny: The Beginning,2012,Takahide Adachi,actor,Criminal C,34.0
Reines d'un jour,2001,Takeo Adachi,actor,Le Ma?tre,
Treasure: In Search of the Golden Horse,1984,Yasumasa Adachi,actor,The Sushi Master,7.0
Paradise Road,1997,Yoshi Adachi,actor,Mr. Moto,37.0
Yadon ilaheyya,2002,Azi Adadi,actor,Soldier 9,
Bablo,2011,Konstantin Adaev,actor,Bill,18.0
Dom (III),2011,Konstantin Adaev,actor,Tocka,
Pestrye sumerki,2010,Konstantin Adaev,actor,Security guard,
Shpion,2012,Konstantin Adaev,actor,Boxer,
Terminator Woman,1993,Umberto Adaggi,actor,Gatelee's Guard,22.0
Sleeping Dogs,2006,Tony Adah,actor,Thomas,
Na de Regen,2014,Jalil Adahchour,actor,Sharif,10.0
Cougar Club,2007,Kyle Adahl,actor,Police Officer,
The Coverup,2008,Kyle Adahl,actor,Accused Officer,
The Divine Emerald,2004,Alvis Adair Jr.,actor,Extra: Martial Arts,
Hitters,2016,Aaron (II) Adair,actor,Sonny,
Armaguedon,1977,Alan Adair,actor,Le ministre anglais de l'industrie,10.0
Bons baisers de Hong-Kong,1975,Alan Adair,actor,Lord anglais,16.0
Cardboard Cavalier,1949,Alan Adair,actor,Courtier,32.0
Casabianca,1951,Alan Adair,actor,Lt. Dudley,8.0
"Je t'aime, je t'aime",1968,Alan Adair,actor,Un inspecteur de police ? Glasgow,19.0
Le maestro,1977,Alan Adair,actor,Un journaliste,13.0
Le point de mire,1977,Alan Adair,actor,Le colonel anglais,17.0
Ma femme est formidable,1951,Alan Adair,actor,"Hartley, L'Anglais",13.0
Martin Soldat,1966,Alan Adair,actor,Un Anglais,26.0
Un linceul n'a pas de poches,1974,Alan Adair,actor,David,15.0
Maps to the Stars,2014,Alden Adair,actor,2nd AD (Blue Matrix),27.0
Super Hybrid,2010,Alden Adair,actor,Hector,1.0
Tideland,2005,Alden Adair,actor,Luke,
Love Happens,2009,Angus Adair,actor,Slam Poet,36.0
Black Mamba,1974,Dick Adair,actor,Resident Doctor,15.0
Blind Rage,1976,Dick Adair,actor,Anderson,5.0
Checkered Flag or Crash,1977,Dick Adair,actor,Adams,10.0
Pacific Inferno,1979,Dick Adair,actor,George,5.0
Pay or Die,1979,Dick Adair,actor,Manny,5.0
Made of Honor,2008,Earl Adair,actor,Guy Selling Alligator Purse,40.0
3 References,2013,Eric Adair,actor,Bad Date,
Abram's Hand,2011,Eric Adair,actor,Officer Jones,12.0
Goin' Guerrilla,2013,Eric Adair,actor,Uncle Sal,9.0
Quad X: The Porn Movie Massacre,2014,Eric Adair,actor,Marcus,
Turkey Day,2011,Eric Adair,actor,Uncle Doug,
The Last Beautiful Girl,2015,Eric (IV) Adair,actor,Dad,12.0
Rodney Stone,1920,Frank Adair,actor,Lord Avon,8.0
The Artistic Temperament,1919,Frank Adair,actor,Edward Faversham,3.0
"The Better 'ole; or, The Romance of Old Bill",1919,Frank Adair,actor,Colonel,13.0
The Flag Lieutenant,1919,Frank Adair,actor,Adm. Wynne,5.0
Icebreaker,2000,George Adair,actor,Baselodge employee,
Love and Death on Long Island,1997,Gilbert Adair,actor,Man at Lecture,
The Dreamers,2003,Gilbert Adair,actor,Man in the Louvre,
Like the Water,2012,Gregory Adair,actor,Voice in the Crowd,
Runaway American Dream,2015,Gregory Adair,actor,Larry,
I'm the Same,2014,Hugh Adair,actor,Hugh,
The Electric Horseman,1979,J. Carlton Adair,actor,Ampco Personnel,40.0
Before She Leaves Her Body,2015,Jac Adair,actor,Jac Spearrow,
52nd Street,1937,Jack Adair,actor,Porky,13.0
After the Thin Man,1936,Jack Adair,actor,Escort of Sexy Blonde,
Anything Goes,1936,Jack Adair,actor,Federal Man,
Florida Special,1936,Jack Adair,actor,Window Cleaner,
Hideaway,1937,Jack Adair,actor,Norris' Henchman,
Kid Galahad,1937,Jack Adair,actor,Party Guest,
Lady Be Careful,1936,Jack Adair,actor,Sydney,16.0
Manhattan Merry-Go-Round,1937,Jack Adair,actor,Eddie - Tony's Henchman,
Peter Ibbetson,1935,Jack Adair,actor,Guard,
Strange Cargo,1940,Jack Adair,actor,Guard,
The Big Game,1936,Jack Adair,actor,Charlie - Kidnap Henchman Answering Door,
The Bride Walks Out,1936,Jack Adair,actor,McKenzie Building Doorman,
The Drag-Net,1936,Jack Adair,actor,Joseph 'Joe' Ross,4.0
The Lady Escapes,1937,Jack Adair,actor,Doorman,
The Lady in Scarlet,1935,Jack Adair,actor,F. W. Dyker,10.0
They Wanted to Marry,1937,Jack Adair,actor,Casino Doorman,
We're on the Jury,1937,Jack Adair,actor,Police Driver,
The Center,2015,Jaden Adair,actor,Background extra,
A Shot at Glory,2000,Jamie Adair,actor,Barman,51.0
Rod the Stormtrooper: Episode V - The Hidden Darkness,2015,Jay Adair,actor,Male Store Patron,17.0
Drifter,1975,Joe Adair,actor,Drifter,1.0
Muss 'em Up,1936,John Adair,actor,'John Doe Jr.' a Gangster,17.0
The Ramparts We Watch,1940,John Adair,actor,Dan Meredith,1.0
Beginner's Luck,1986,John (II) Adair,actor,Reverend-Gas Attendant,8.0
Yellow Rock,2011,John (VII) Adair,actor,Tribesman,22.0
The Happy Lands,2012,Kevin Adair,actor,Davey King,
Mr. Doppler's Effect,2012,Laura Roberts Adair,actor,Nurse Gustafson,
The Final Sanction,1990,Lucky Adair,actor,Diplomat,50.0
Generational Curses,2009,Luther Adair,actor,Hassan,
Up in Arms,1944,Maryon Adair,actor,Girl in Trailer,
The Dead Outside,2008,Max Adair,actor,April's Brother,6.0
The Accidental Missionary,2012,Mendy Adair,actor,Flight Attendent,
The Satanic Rites of Dracula,1973,Peter (II) Adair,actor,Doctor,14.0
Blind Adventure,1933,Robert Adair,actor,Large Constable,
Bride of Frankenstein,1935,Robert Adair,actor,Hunter in Woods,
Brilliant Marriage,1936,Robert Adair,actor,"Thorne, the Butler",9.0
Bulldog Drummond Escapes,1937,Robert Adair,actor,Woolsey,
Call It a Day,1937,Robert Adair,actor,Butler,
Captured!,1933,Robert Adair,actor,Provost Marshal Officer,
Dr. Jekyll and Mr. Hyde,1931,Robert Adair,actor,Ivy's Admirer at Music Hall,
Eight O'Clock Walk,1954,Robert Adair,actor,Mr. Pettigrew,13.0
Empty Saddles,1936,Robert Adair,actor,Ezra Biggers,
Fast Workers,1933,Robert Adair,actor,Mr. Shore - Millie's Boyfriend,
"Father Brown, Detective",1934,Robert Adair,actor,Policeman,
Gilbert Harding Speaking of Murder,1953,Robert Adair,actor,Mills,
Great Expectations,1934,Robert Adair,actor,Sergeant,
Hell Below,1933,Robert Adair,actor,British Officer,
I Killed the Count,1939,Robert Adair,actor,Bit Part,
I Was a Male War Bride,1949,Robert Adair,actor,Col. Bliven,
It's Hard to Be Good,1948,Robert Adair,actor,Committee Man,
Jamaica Inn,1939,Robert Adair,actor,Captain Murray,
Journey's End,1930,Robert Adair,actor,Capt. Hardy,6.0
King of the Jungle,1933,Robert Adair,actor,John C. Knolls,
Lady in the Fog,1952,Robert Adair,actor,John - film director,24.0
Limehouse Blues,1934,Robert Adair,actor,Policeman,
Lloyd's of London,1936,Robert Adair,actor,Bailiff,
London by Night,1937,Robert Adair,actor,Bobby,
Lovers Courageous,1932,Robert Adair,actor,Boat Passenger,
Madame Louise,1951,Robert Adair,actor,Bookmaker,10.0
Man on the Run,1949,Robert Adair,actor,Morgan,20.0
Meet Mr. Callaghan,1954,Robert Adair,actor,August Meraulton,15.0
Morning Glory,1933,Robert Adair,actor,Roberts,
Mutiny on the Bounty,1935,Robert Adair,actor,Warden,
Noose,1948,Robert Adair,actor,Sgt. Brooks,13.0
Park Plaza 605,1953,Robert Adair,actor,Baron von Henschel,8.0
Peter Ibbetson,1935,Robert Adair,actor,Prisoner,
Portrait of Clare,1950,Robert Adair,actor,Sir Joseph Astill,19.0
Raffles,1930,Robert Adair,actor,Lord Melrose's Butler,
Riptide,1934,Robert Adair,actor,Bartender,
Sisters Under the Skin,1934,Robert Adair,actor,Englishman,20.0
Sons o' Guns,1936,Robert Adair,actor,Sentry,
Stage Fright,1950,Robert Adair,actor,Rough Individual,
Stingaree,1934,Robert Adair,actor,Doorman,
Student Tour,1934,Robert Adair,actor,English Trainer,
Suzy,1936,Robert Adair,actor,London,
Sylvia Scarlett,1935,Robert Adair,actor,Turnkey,
The Accused,1953,Robert Adair,actor,Grim,
The Captain's Paradise,1953,Robert Adair,actor,Customs official #3,19.0
The Crusades,1935,Robert Adair,actor,English Chamberlain,
The Face at the Window,1939,Robert Adair,actor,Police Inspector Gouffert,5.0
The Farmer Takes a Wife,1935,Robert Adair,actor,Yorkshire Pioneer,
The Gambler and the Lady,1952,Robert Adair,actor,Engles,
The Girl Who Came Back,1935,Robert Adair,actor,Charles Matthews,9.0
The Intruder,1953,Robert Adair,actor,Luigi,14.0
The Invisible Man,1933,Robert Adair,actor,Detective Thompson,
The Kiss Before the Mirror,1933,Robert Adair,actor,Courtroom Officer,
The Last Outpost,1935,Robert Adair,actor,Sergeant in general's office,
The Mystery of Mr. X,1934,Robert Adair,actor,Constable,
